,Name,ID,Country,Cloudiness,Temperature,Latitude,Longitude,Humidity,Wind Speed
62,Newark,5164466,US,90,50.05,40.06,-82.4,100,8.05
63,Vol’nost’,472556,RU,0,37.4,44.77,41.58,25,6.71
64,Lower Southgate,2159446,AU,36,67.81,-29.55,153.08,63,3.71
65,Dingboche,1283437,NP,0,-6.98,27.9,86.83,49,1.48
66,Brastavatu,683842,RO,90,39.2,43.92,24.4,93,1.12
67,Lendorf,2772672,AT,80,34.51,46.84,13.43,100,0.58
68,Karangkancana,8073879,ID,64,68.85,-7.09,108.66,98,2.15
69,Gronsdorf,2917102,DE,92,33.84,48.12,11.71,93,2.24
70,Belchatow,3103709,PL,90,37.4,51.37,19.36,100,1.12
71,Gunalda,2164263,AU,20,70.47,-26.0,152.57,33,2.93
72,Stölln,2826553,DE,75,41.0,48.25,12.98,93,3.36
73,Rubesi,3191490,HR,75,56.79,45.37,14.35,100,6.93
74,Portet-sur-Garonne,2985982,FR,0,44.6,43.52,1.41,70,5.82
75,Département du Nord-Ouest,3719536,HT,0,83.52,19.75,-73.08,78,4.16
76,Krimml,2773437,AT,75,42.8,47.22,12.18,87,1.12
77,Orebic,3194029,HR,90,50.0,42.99,17.17,93,3.36
78,Niederwiesa,2862724,DE,92,42.8,50.87,13.02,87,6.93
79,Alfredo M. Terrazas,3533067,MX,20,77.22,21.47,-98.85,71,3.27
80,Borisova Griva,572506,RU,40,32.0,60.09,30.98,86,13.42
81,Goyty,559179,RU,24,24.25,43.16,45.62,82,2.93
82,Central Islip,5112078,US,90,45.14,40.79,-73.2,79,6.93
83,Nanjie,1812056,CN,0,21.73,35.43,111.31,83,1.7
84,Toalmas,3043887,HU,90,42.28,47.51,19.67,100,2.24
85,El Tuito,4007102,MX,40,80.6,20.32,-105.32,74,12.75
86,Ranger,4721504,US,1,75.7,32.47,-98.68,15,11.41
87,Alconaba,6361064,ES,92,36.85,41.73,-2.4,88,10.98
88,Clitourps,6435377,FR,90,41.0,49.65,-1.37,93,4.7
89,Knonau,2660125,CH,20,37.09,47.22,8.46,100,1.7
90,Benson,5771337,US,1,36.84,41.79,-111.93,49,19.46
91,Schmalenbuche,2838096,DE,40,41.0,50.52,11.15,86,8.05
92,Silenen,7287171,CH,90,37.4,46.78,8.75,93,4.7
93,Göpfritz an der Wild,7873080,AT,32,36.27,48.73,15.39,95,4.94
94,Berndorf,7871704,AT,75,42.8,47.94,16.13,93,3.36
95,Gevry,3016144,FR,0,40.03,47.04,5.44,100,2.24
96,Cillorigo de Liébana,6360669,ES,8,45.27,43.21,-4.64,76,8.63
97,Raedersheim,2984578,FR,0,41.0,47.89,7.28,93,5.82
98,Jembatcumbene,2162369,AU,0,50.0,-35.53,149.78,87,3.04
99,Pickle Lake,6104159,CA,90,24.8,51.48,-90.16,92,8.05
100,Parkent,1513017,UZ,0,28.4,41.29,69.68,74,9.17
101,Wüstenrot,6555536,DE,75,39.2,49.1,9.47,93,8.05
102,Dzilam Gonzalez,3529654,MX,0,91.84,21.28,-88.93,42,3.6
103,Sabina,4523097,US,75,53.04,39.49,-83.64,81,17.22
104,Daiting,2939343,DE,90,35.94,48.8,10.9,100,3.15
105,Port-aux-Francais,1546102,TF,88,35.5,-49.35,70.22,100,12.77
106,Jaraicejo,2516367,ES,92,49.45,39.67,-5.81,97,10.65
107,Sevarice,3190958,RS,0,46.42,44.87,19.66,87,4.7
108,Wetteren,2783764,BE,88,39.9,50.99,3.87,100,2.24
109,Saint-Lupicin,2978666,FR,24,39.2,46.4,5.79,100,2.24
110,Buix,2661339,CH,0,36.45,47.48,7.03,93,5.82
111,Revo,3169458,IT,90,35.53,46.39,11.06,86,13.87
112,San Martin de la Vega del Alberche,3110359,ES,92,46.4,40.43,-5.16,75,14.99
113,Sao Domingos,3449293,BR,44,80.55,-13.4,-46.32,59,3.71
114,Tokyo,1850147,JP,90,42.55,35.69,139.69,82,7.4
115,Aramina,3471819,BR,75,71.6,-20.09,-47.79,78,20.8
116,Eckstedt,2933524,DE,40,41.0,51.07,11.13,86,8.05
117,East Palestine,5152794,US,90,44.6,40.83,-80.54,100,6.93
118,Saint-Denis-les-Ponts,2980878,FR,92,40.28,48.07,1.3,100,3.36
119,Weedon,6177594,CA,20,37.4,45.7,-71.45,69,5.82
120,Ruensiek,2843342,DE,88,36.79,51.87,9.17,100,4.7
121,Fairhope,4061234,US,1,69.76,30.52,-87.9,68,3.94
122,St Kilda West,8029812,AU,90,55.4,-37.86,144.97,87,10.29
123,Arbazh,581228,RU,24,18.9,57.68,48.31,86,8.41
124,Dietaisi,1812850,CN,0,8.64,38.81,112.2,72,2.37
125,Municipio Carrizal,8131443,VE,24,83.7,10.35,-66.99,45,2.48
126,Liudu,1924343,CN,68,40.77,28.65,118.31,82,2.48
127,Cerro Azul,3712786,PA,40,88.72,9.17,-79.42,58,11.41
128,Sukasenang,8026039,ID,64,66.19,-7.22,108.16,96,1.7
129,Qutaylibiyah,165637,SY,40,55.4,35.29,36.02,82,4.7
130,Bastida deDossi,3182287,IT,75,50.04,45.04,8.92,93,3.36
131,Juncal,2267310,PT,75,57.2,39.6,-8.9,100,4.7
132,Metulla,294247,IL,75,62.6,33.28,35.58,72,4.7
133,Salvador Alvarado,3822620,MX,0,91.57,19.98,-89.49,40,3.27
134,Norwich,6091191,CA,90,40.46,42.98,-80.6,100,8.05
135,Herlev,2620431,DK,75,34.84,55.72,12.44,86,8.05
136,Choccolocco,4055139,US,40,57.79,33.66,-85.7,77,4.27
137,Scottdale,5211279,US,90,42.84,40.1,-79.59,81,8.05
138,Pokrovka,507530,RU,76,21.82,53.47,43.23,80,12.66
139,Campazas,6358582,ES,75,42.8,42.15,-5.49,100,16.11
140,Santiago de la Puebla,6360534,ES,44,46.4,40.8,-5.29,75,14.99
141,Sokaraja,1626312,ID,36,67.99,-7.46,109.29,96,2.15
142,Gold Hill,5728665,US,75,46.81,42.43,-123.05,85,3.36
143,Poysdorf,7871846,AT,90,41.43,48.67,16.63,100,2.24
144,Cutzamala de Pinzon,4012085,MX,8,91.75,18.47,-100.57,32,3.38
145,Jiangshan,1806274,CN,0,46.44,25.18,116.97,93,1.92
146,Champcoeur,5919603,CA,75,33.8,48.68,-77.63,80,10.29
147,Vannasby,2665090,SE,0,24.8,63.93,19.83,79,8.05
148,Worpswede,2806108,DE,75,36.23,53.22,8.93,93,6.93
149,São Sebastião do Alto,3448230,BR,75,82.4,-21.96,-42.13,69,18.34
150,Cricqueville-en-Auge,6427174,FR,0,40.41,49.23,-0.07,93,6.93
151,Narros del Puerto,3115732,ES,56,46.4,40.54,-4.99,75,14.99
152,Lincolnwood,4899988,US,90,45.23,42.0,-87.73,88,13.87
153,Studina,665909,RO,90,39.2,43.97,24.42,93,1.12
154,Aitkin County,5015979,US,90,28.9,46.6,-93.42,86,18.34
155,Muḩāfaz̧at al ‘Āşimah,285788,KW,90,71.6,29.33,47.92,88,13.87
156,Badian,1729411,PH,68,78.84,9.86,123.4,100,7.96
157,Ulety,2014369,RU,0,9.54,51.36,112.48,68,6.73
158,Alfara de Algimia,2522053,ES,0,50.0,39.77,-0.35,71,6.93
159,Saint-Jean-de-Védas,6432641,FR,0,44.6,43.58,3.83,93,4.7
160,Chuchkovo,567806,RU,68,21.55,54.27,41.45,77,12.88
161,Lakewood,4584524,US,90,49.35,33.85,-80.35,87,9.17
162,Qinling Jieban,1910312,CN,0,28.4,34.39,109.25,100,2.24
163,Idaho County,5596467,US,88,28.39,45.96,-114.63,68,2.37
164,Leana,3311783,IE,75,42.8,52.99,-9.08,87,10.29
165,Dazuo,1813046,CN,88,68.98,24.89,118.96,100,21.16
166,Manhattan,5664535,US,90,33.08,45.86,-111.33,75,14.99
167,Turbigo,3165100,IT,75,47.57,45.53,8.74,93,3.36
168,SantAmbrogio di Torino,3167514,IT,20,41.68,45.1,7.36,93,6.93
169,Piskavica,3248645,BA,40,42.8,44.87,16.97,100,2.24
170,New Rockford,5060614,US,90,26.58,47.68,-99.14,92,16.11
171,Chodova Plana,3077705,CZ,75,38.64,49.89,12.73,100,2.24
172,Didsbury,6620310,GB,0,41.45,53.42,-2.23,80,8.05
173,Lauderdale,5034239,US,90,35.35,45.0,-93.21,99,8.05
174,Pardaillan,2988560,FR,0,40.19,44.66,0.28,93,5.82
175,Singleton,7839771,AU,24,61.69,-32.61,150.92,68,9.98
176,Dietrichsdorf,2937064,DE,75,37.63,51.87,12.78,100,1.12
177,Veazie,4981750,US,75,39.06,44.84,-68.71,52,4.7
178,Reidewitz,2848951,DE,20,39.2,51.6,11.7,93,2.24
179,Santa Mustiola,8199069,SM,75,50.74,43.93,12.44,100,5.82
180,Vertolaye,2969615,FR,0,37.4,45.65,3.71,86,4.05
181,Yingcheng,7661834,CN,0,44.95,30.37,112.2,91,2.93
182,San Joaquin County,5392126,US,75,62.17,37.93,-121.3,74,8.05
183,Pagny-sur-Moselle,2988823,FR,90,44.6,48.98,6.02,87,5.82
184,Queenstown,5268222,US,90,35.24,45.35,-90.29,100,5.82
185,Lorette,2997590,FR,0,40.1,45.51,4.58,86,3.36
186,Medias,673634,RO,76,37.53,46.17,24.35,93,5.82
187,Talang,1684062,PH,75,76.42,15.02,120.84,83,2.24
188,Padenstedt,6551903,DE,75,37.4,54.05,9.92,86,4.7
189,Schlegel,2838793,DE,92,33.34,50.98,14.88,90,3.94
190,Santa Isabel,3836238,AR,0,83.02,-36.23,-66.94,15,9.86
191,Jedlnia-Letnisko,770162,PL,92,34.51,51.43,21.34,100,2.93
192,Xiaofayi,1909627,CN,0,23.26,34.17,107.82,63,2.71
193,Lan Sak,7510893,TH,20,68.49,15.45,99.58,90,4.16
194,Mosqueruela,6361567,ES,0,24.07,40.36,-0.4,85,2.48
195,Pannes,2988632,FR,90,41.9,48.02,2.67,100,4.7
196,La Vega,3797691,VE,90,68.0,8.59,-71.63,82,4.7
197,Versen,2817546,DE,64,36.37,52.72,7.23,93,5.82
198,Libertad,1706677,PH,48,80.82,10.92,124.45,99,9.98
199,Arzens,3036604,FR,0,44.6,43.2,2.21,81,3.36
200,Svedala,2670128,SE,75,34.68,55.51,13.24,100,5.82
201,Bailleau-le-Pin,3035366,FR,68,40.23,48.37,1.33,100,3.36
202,Taraba State,2597366,NG,0,76.0,8.0,10.5,32,5.28
203,Bruckneudorf,2781361,AT,75,42.26,48.02,16.78,93,3.36
204,Sangar,2017215,RU,12,-30.97,63.92,127.47,51,2.82
205,Pradoalvar,3112920,ES,92,45.22,42.17,-7.28,98,8.08
206,Sedro-Woolley,5809902,US,75,48.31,48.5,-122.24,65,6.93
207,Cabañas de Polendos,6360778,ES,100,37.57,41.05,-4.1,99,6.85
208,Wilaya de Boumerdes,2502638,DZ,75,57.2,36.75,3.67,93,5.82
209,Yuncos,6361864,ES,20,41.0,40.09,-3.89,100,1.12
210,Cuincy,3022133,FR,90,42.8,50.38,3.05,100,2.24
211,Dolores,1714492,PH,36,69.75,17.65,120.71,89,3.15
212,Güntersen,2913592,DE,75,42.8,51.53,9.73,93,2.24
213,Salekhard,1493197,RU,68,6.61,66.53,66.6,86,5.84
214,Dement’yevo,566765,RU,90,25.99,55.61,38.3,73,11.18
215,Linden,4636915,US,1,62.6,35.62,-87.84,63,9.17
216,Rozhdestveno,500996,RU,40,32.0,59.32,29.95,83,13.42
217,Soltsy,490750,RU,80,33.34,58.12,30.32,83,6.85
218,Soledad,1685867,PH,75,75.2,15.43,120.98,83,2.24
219,Villaprovedo,3105152,ES,75,44.6,42.52,-4.4,75,18.34
220,Bouillenne,2801285,BE,75,38.88,50.62,5.68,100,2.24
221,Monsec,2993213,FR,0,42.53,45.42,0.53,87,6.93
222,Laerru,3175293,IT,20,58.08,40.82,8.84,100,4.7
223,Newton Ferrers,2641552,GB,75,46.4,50.31,-4.04,87,16.11
224,Neupotz,2864356,DE,0,45.36,49.12,8.32,81,6.93
225,Buena Vista County,4849689,US,1,42.8,42.73,-95.15,70,10.29
226,Yasu,1848489,JP,0,39.2,35.07,136.02,86,2.24
227,Bawku,2303287,GH,0,75.69,11.06,-0.24,43,4.72
228,Caracaraí,3664684,BR,20,91.57,1.82,-61.13,52,2.15
229,Grünbach,2914465,DE,0,36.43,48.7,9.84,86,1.12
230,Porzuna,6357159,ES,76,41.26,39.19,-4.22,96,9.98
231,Yutsa,472961,RU,90,26.6,43.96,43.01,100,6.71
232,Villa del Totoral,3832763,AR,0,79.96,-30.82,-63.72,48,11.54
233,Jackpot,5705218,US,1,37.94,41.98,-114.67,64,26.4
234,Mettenheim,2871556,DE,64,36.77,48.27,12.47,93,2.24
235,Boldino,575388,RU,90,26.6,56.27,36.93,86,13.42
236,Codington County,5226970,US,90,26.96,44.96,-97.19,96,13.87
237,Montendre,6428004,FR,0,46.99,45.28,-0.4,93,9.17
238,Querum,2851370,DE,90,33.8,52.3,10.57,100,4.7
239,Cubillo,6360802,ES,100,40.05,41.11,-3.92,96,14.34
240,Wenlin,1791466,CN,48,42.8,30.0,104.14,100,2.82
241,Lestijärvi,648180,FI,56,25.06,63.5,24.67,88,6.4
242,Hundsbach,6553501,DE,90,41.59,49.72,7.55,93,3.15
243,Kleinschwamborn,2888237,DE,75,41.54,50.93,7.25,93,6.93
244,Frilsham,7292715,GB,90,44.8,51.46,-1.22,81,8.05
245,San Telmo,2511089,ES,88,55.48,37.8,-6.97,96,13.44
246,Revilla de Collazos,6360098,ES,92,39.73,42.64,-4.51,97,17.02
247,Monterey,5374361,US,90,62.1,36.6,-121.89,89,5.82
248,Na Tan,1600814,TH,12,70.96,15.9,105.29,80,10.98
249,Dananyu,7372877,CN,0,25.51,33.43,105.76,90,4.27
250,Chexi,7466654,CN,8,45.09,26.05,115.58,90,2.37
251,Saint-Aubin-de-Blaye,6432369,FR,0,47.3,45.27,-0.57,93,9.17
252,Razliv,502426,RU,76,27.0,57.77,40.92,94,9.98
253,Shanor-Northvue,7258973,US,90,44.89,40.91,-79.92,100,6.93
254,Morsleben,2869152,DE,80,31.95,52.22,11.11,96,3.15
255,Hornostayivka,708403,UA,0,18.13,47.01,33.73,87,3.04
256,North Middletown,5101935,US,90,45.64,40.44,-74.12,66,14.23
257,Wangzhuangbu,1791819,CN,0,13.18,39.44,113.91,66,2.48
258,Tuburan,1681075,PH,20,78.8,10.73,123.83,83,8.05
259,Mnisek pod Brdy,3070446,CZ,75,42.04,49.87,14.26,93,9.17
260,Nadovrazhino,6417886,RU,90,25.66,55.91,37.12,86,13.42
261,Medellin,2513968,ES,92,50.98,38.96,-5.96,94,14.45
262,Moravka,3070339,CZ,75,42.8,49.6,18.52,87,12.75
263,Perrenjas-Fshat,781919,AL,92,42.39,41.07,20.54,98,2.15
264,Pass Christian,4440413,US,1,66.07,30.32,-89.25,78,4.7
265,Lambsborn,6555066,DE,75,42.1,49.37,7.43,93,6.96
266,Castel San Giovanni,3179485,IT,75,48.2,45.06,9.43,93,3.36
267,Gustedt,2913452,DE,90,33.8,52.09,10.3,100,6.93
268,Michelrieth,2871314,DE,75,39.2,49.83,9.53,93,8.05
269,Vall de Almonacid,6357075,ES,0,50.0,39.9,-0.45,71,11.41
270,Billy-Berclau,3032622,FR,90,41.88,50.52,2.87,100,3.36
271,Barnekow,2952511,DE,75,35.6,53.87,11.37,100,5.82
272,Woshui,1920457,CN,0,44.64,24.57,112.23,91,2.15
273,Tracyton,5813832,US,75,46.99,47.61,-122.66,70,6.93
274,Colognola ai Colli,6534655,IT,75,49.41,45.43,11.18,100,4.7
275,Sokhumi,611847,GE,0,32.49,43.0,41.02,100,2.71
276,Wattamolla,2144380,AU,0,59.0,-34.73,150.65,67,8.05
277,Zuerich (Kreis 10),6295539,CH,0,37.42,47.41,8.5,100,2.24
278,Huicheng,1806881,CN,75,64.4,23.04,116.29,88,19.26
279,Province du Bas-Congo,2317277,CD,44,76.09,-5.5,14.5,87,2.37
280,Crymych,2651796,GB,24,46.4,51.97,-4.65,75,11.41
281,Huntingdonshire,2646390,GB,88,39.81,52.42,-0.25,100,6.93
282,Randaberg,3142396,NO,0,28.65,59.0,5.62,92,5.95
283,Premont,4720529,US,1,75.36,27.36,-98.12,57,10.29
284,Palacpalac,1696368,PH,0,66.6,16.13,120.53,95,2.15
285,Taiwan,1668284,TW,20,62.6,24.0,121.0,82,0.36
286,Saint-Paul,6454458,FR,90,42.8,49.43,2.0,93,4.7
287,Evans,5576909,US,75,43.56,40.38,-104.69,44,31.09
288,御影,7302982,JP,0,42.46,34.72,135.25,87,5.82
289,Chornoliztsi,710698,UA,75,26.6,48.83,24.9,100,4.47
290,Lencze,3093628,PL,75,39.2,49.9,19.74,100,2.24
291,Huping,1806617,CN,64,49.05,27.19,115.75,96,2.26
292,Slavjanci,6460144,BG,44,35.6,42.77,26.71,93,8.05
293,West Haven,5759989,US,75,43.25,45.52,-122.77,89,6.93
294,Willerwald,2967357,FR,90,42.76,49.02,7.04,87,3.36
295,Abidos,6452452,FR,0,41.43,43.4,-0.62,80,1.12
296,Klein Zecher,2887952,DE,75,37.4,53.58,10.87,99,8.05
297,Alwar,1278946,IN,0,53.64,27.57,76.6,67,2.71
298,Pochuta,3591210,GT,75,86.65,14.55,-91.08,61,11.41
299,Amsdorf,2956339,DE,20,37.4,51.47,11.73,100,3.36
300,Corella,6359625,ES,56,42.91,42.1,-1.79,86,8.05
301,Riegelsberg,2847033,DE,90,43.68,49.3,6.93,87,3.36
302,Washago,6176487,CA,90,33.8,44.75,-79.33,100,10.29
303,Pyra,503428,RU,90,30.2,56.3,43.35,80,11.18
304,Parakai,2184927,NZ,75,62.6,-36.65,174.43,100,13.87
305,Hergenfeld,6553496,DE,75,40.98,49.9,7.77,93,3.15
306,Véron,6446066,FR,40,42.8,48.13,3.3,100,8.05
307,Pustleben,2851618,DE,75,39.2,51.45,10.67,86,5.82
308,Bloomfield,5180905,US,90,46.11,40.46,-79.95,93,8.05
309,Rongmei,1797099,CN,92,44.82,29.89,110.03,98,2.26
310,Tarfaya,2529923,MA,0,68.67,27.94,-12.92,99,3.27
311,Malplaqués,2791825,BE,56,40.73,50.57,4.68,100,2.24
312,Rankwitz,2850468,DE,88,35.64,53.95,13.93,100,4.61
313,Huitzó,4004493,MX,40,71.6,19.97,-102.07,60,11.41
314,Clyde,2192264,NZ,92,49.81,-45.18,169.32,100,2.71
315,Verdal,3132176,NO,75,32.0,63.79,11.48,94,10.29
316,Selopuro,1627956,ID,88,77.08,-8.14,112.31,100,2.93
317,Mirovtsi,729054,BG,56,33.8,43.45,27.23,88,3.36
318,Nanzheng Chengguanzhen,7628535,CN,12,26.55,33.0,106.93,76,2.59
319,Bayt Awwa,283129,PS,40,61.3,31.51,34.95,87,2.24
320,Cikiruh Wetan,7763483,ID,44,79.6,-6.83,105.88,94,9.64
321,Mylau,2867274,DE,44,39.79,50.62,12.27,81,6.93
322,Ropraz,2658975,CH,20,37.72,46.62,6.75,100,1.12
323,Villadepalos,3105670,ES,92,44.41,42.54,-6.75,97,6.85
324,Schaijk,2747713,NL,75,36.5,51.75,5.63,100,2.24
325,Staroverovka,692786,UA,90,23.0,49.54,35.7,92,8.95
326,Provincia di Viterbo,3164038,IT,92,54.22,42.42,12.08,100,3.38
327,Three Lakes,4175296,US,75,81.79,25.64,-80.4,64,17.22
328,Qatana,165929,SY,75,48.2,33.44,36.08,87,4.7
329,Barr,3034868,FR,40,42.28,48.41,7.45,100,4.27
330,Grandview,4239702,US,1,56.05,39.82,-89.62,59,10.29
331,Faistenau,7872205,AT,75,41.0,47.76,13.26,93,3.36
332,Mehrum,2872359,DE,90,36.95,51.58,6.62,100,3.15
333,Trois-Villes,6440638,FR,0,47.7,43.13,-0.87,80,1.12
334,Lunas,6429421,FR,0,37.4,44.92,0.4,93,5.82
335,Pinner,2640275,GB,80,44.78,51.59,-0.38,75,10.29
336,Novostrepetnyy,582541,RU,48,13.0,47.94,41.58,84,1.81
337,Cercivento,3219193,IT,75,51.8,46.53,12.99,87,4.7
338,Budapest XXIII. keruelet,7284837,HU,90,41.0,47.4,19.11,100,2.24
339,Dakota Dunes,5227180,US,1,45.9,42.49,-96.49,76,6.93
340,Zsellérföldek,713872,HU,90,42.8,46.82,21.03,93,4.7
341,Favaios,2739736,PT,92,48.69,41.27,-7.5,96,7.4
342,Wejsuny Małe,756037,PL,92,30.82,53.68,21.61,100,3.15
343,Errezil,6358154,ES,0,52.84,43.18,-2.19,47,12.75
344,Sabran,6431378,FR,32,39.2,44.15,4.55,100,2.24
345,Navaquesera,3115617,ES,92,40.9,40.43,-4.91,96,3.27
346,West Tamar,7839373,AU,90,55.4,-41.26,146.89,71,14.99
347,Chalais,6455009,FR,0,40.35,45.52,0.92,93,4.7
348,Borghetto di Vara,3181836,IT,56,47.52,44.22,9.72,99,2.04
349,Tobía,6359133,ES,20,45.21,42.27,-2.86,87,2.24
350,Duquesne,4384809,US,1,67.98,37.08,-94.46,49,11.41
351,Isny im Allgau,2895638,DE,0,33.46,47.7,10.03,79,1.12
352,Moissat,2993581,FR,0,37.4,45.77,3.35,86,3.36
353,Province du Luxembourg,2791993,BE,92,41.92,50.0,5.5,93,5.82
354,Illerrieden,2896547,DE,0,33.4,48.27,10.05,79,1.12
355,Novopillya,699318,UA,0,40.54,44.58,33.92,100,3.15
356,Viennay,6444261,FR,0,44.6,46.68,-0.25,93,6.93
357,Santana de Cataguases,3449950,BR,92,73.75,-21.29,-42.56,63,7.18
358,Gaggi,2524688,IT,75,63.99,37.86,15.22,88,2.24
359,Rieneck,2846979,DE,44,37.44,50.1,9.65,97,5.06
360,Scotby,2638365,GB,44,33.8,54.89,-2.87,100,6.93
361,Preko,3192541,HR,75,55.4,44.08,15.2,93,6.93
362,Rueun,7286976,CH,90,34.39,46.8,9.14,93,4.7
363,Hainau,6554086,DE,75,40.53,50.22,7.78,93,4.16
364,Klein Lichtenhagen,2888559,DE,75,35.6,54.15,12.05,87,5.82
365,Torrita Tiberina,3165380,IT,40,58.06,42.24,12.61,93,10.29
366,Glandorf,6552997,DE,75,37.47,52.08,7.98,100,4.7
367,Nibbar,2468459,TN,40,51.8,36.29,8.77,93,9.98
368,Rohrig,2845589,DE,75,42.8,51.33,10.03,93,2.24
369,Killean,5991949,CA,90,39.29,43.42,-80.23,100,8.05
370,Glendon Brook,2165361,AU,24,66.2,-32.53,151.35,59,6.93
371,Karmah an Nuzul,372801,SD,0,61.78,19.63,30.42,61,9.19
372,Kannad,1268020,IN,0,60.7,20.27,75.13,79,3.38
373,Bruck an der Großglocknerstraße,7873326,AT,75,41.0,47.28,12.86,93,3.36
374,City of Nottingham,3333178,GB,75,41.68,52.97,-1.15,93,6.93
375,Argeliers,3037067,FR,0,44.6,43.31,2.91,87,2.24
376,Budhana,1275152,IN,0,51.7,29.28,77.47,84,2.93
377,Treptow,2821294,DE,75,35.6,53.68,13.25,99,5.82
378,Dowra,2964677,IE,20,40.18,54.19,-8.02,96,9.64
379,Waltham Cross,2634842,GB,90,44.4,51.69,-0.03,81,8.05
380,Parenggan,8058430,ID,56,74.2,-6.75,111.04,100,4.61
381,Murrah,2156127,AU,0,60.07,-36.5,150.02,100,15.46
